# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
1305.0 2 91.876 150.547 30.212 21.638 0.0001194 7.465e-06 1.776e-05 6.552e+10 1.354e+09 3.344e+10 -3.704e+08 -2.862e+07 -1.995e+08 39.5
1310.0 2 96.501 151.116 28.287 25.429 8.446e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 38.86
1315.0 2 101.763 150.901 27.084 28.621 8.446e-05 1.056e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 38.21
1320.0 2 107.434 150.092 26.773 31.040 5.972e-05 1.669e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 37.35
1325.0 2 113.328 149.000 27.504 32.618 8.446e-05 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.7
1330.0 2 119.114 147.835 29.312 33.322 5.972e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1335.0 2 124.604 146.946 32.053 33.091 -nan(ind) 1.056e-05 0 inf inf inf -inf -inf -inf 35.6
1340.0 3 129.274 119.689 23.879 30.981 1380 114.8 0.1186 5.438e+06 3.643e+05 2.901e+06 -2.743e+04 -4437 -1.593e+04 31.4
1345.0 3 132.559 120.010 27.163 30.567 2018 56.22 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 27.28
1350.0 2 137.108 148.230 44.431 28.250 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1355.0 2 139.473 150.457 49.201 25.995 8.446e-05 5.279e-06 2.719e-05 3.918e+10 1.17e+09 2.018e+10 -2.166e+08 -1.276e+07 -1.147e+08 35.6
1360.0 2 140.867 153.653 53.854 23.857 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1365.0 2 141.358 157.750 58.128 22.100 -nan(ind) 1.12e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1370.0 2 141.088 162.607 61.788 20.958 -nan(ind) 9.876e-06 2.888e-05 4.31e+10 7.16e+08 2.191e+10 -2.503e+08 -1.203e+07 -1.312e+08 35.6
