#BLTrackFile VirtualDetector/ParyleneN_Foil
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.179642 0.823701 -1.0001 -0.0581671 -0.092394 13.683 0.913359 -2212 70 1 0 1
-0.331141 0.218109 -0.9999 0.646406 -0.394438 -12.4761 531.894 -2212 70 1 0 1
1.95216 5.66025 -1.0001 0.371216 -0.353953 13.6115 0.913897 -2212 71 1 0 1
3.62059 6.85102 -0.9999 -1.12587 2.76475 -12.2341 534.481 -2212 71 1 0 1
-0.561599 0.7172 -1.0001 -0.00140958 -0.0165079 13.638 0.914745 -2212 72 1 0 1
-0.745096 0.388048 -0.9999 0.415078 -0.248204 -12.5888 527.912 -2212 72 1 0 1
0.905194 0.67353 -1.0001 -0.014578 0.0907796 13.683 0.913023 -2212 73 1 0 1
0.303141 1.1592 -0.9999 -0.448376 -0.243541 -12.8123 518.126 -2212 73 1 0 1
-1.12159 1.53159 -1.0001 -0.00700537 0.0391713 13.672 0.914219 -2212 74 1 0 1
-1.7594 1.26678 -0.9999 0.0399479 0.345251 -12.6211 527.022 -2212 74 1 0 1
0.978482 1.00073 -1.0001 0.0298973 0.0401915 13.6478 0.91499 -2212 75 1 0 1
0.458638 1.33649 -0.9999 0.295833 -1.22218 -12.5995 525.901 -2212 75 1 0 1
1.13748 0.375194 -1.0001 -0.0488214 -0.0712046 13.6293 0.913945 -2212 76 1 0 1
0.874527 0.994731 -0.9999 -0.327476 -0.669663 -12.6422 524.809 -2212 76 1 0 1
-1.4008 3.21672 -1.0001 -0.181283 0.104648 13.6818 0.913555 -2212 77 1 0 1
-1.46924 2.75393 -0.9999 1.27681 0.915076 -12.507 529.097 -2212 77 1 0 1
0.0790114 -1.75325 -1.0001 -0.110986 -0.102724 13.6159 0.913545 -2212 78 1 0 1
-0.137836 -0.989858 -0.9999 -0.96903 -0.443719 -12.4413 532.599 -2212 78 1 0 1
-4.36243 -0.0497242 -1.0001 0.0908572 0.0863205 13.6277 0.914633 -2212 79 1 0 1
-3.15291 0.528874 -0.9999 -1.11309 1.91335 -12.409 530.596 -2212 79 1 0 1
3.20091 -0.384594 -1.0001 -0.203739 0.00909842 13.6457 0.913377 -2212 80 1 0 1
2.56712 -1.31846 -0.9999 1.6311 -0.81246 -12.3537 534.438 -2212 80 1 0 1
-3.26363 2.81065 -1.0001 -0.0966925 0.0252064 13.671 0.91329 -2212 81 1 0 1
-3.97356 1.35827 -0.9999 1.44985 -0.458502 -12.6161 524.456 -2212 81 1 0 1
-0.558981 -1.83107 -1.0001 0.0630055 0.0406827 13.6761 0.913219 -2212 82 1 0 1
0.305805 -1.3257 -0.9999 -0.593589 0.839762 -12.5051 530.172 -2212 82 1 0 1
-0.663825 -0.40167 -1.0001 0.19737 -0.436574 13.6174 0.914407 -2212 83 1 0 1
-0.256118 -0.018084 -0.9999 -0.237875 0.780532 -12.5254 529.646 -2212 83 1 0 1
3.69295 1.63047 -1.0001 0.044449 0.0476185 13.6921 0.91352 -2212 84 1 0 1
4.90333 1.93809 -0.9999 0.231542 2.24225 -12.2099 539.157 -2212 84 1 0 1
-3.81741 2.49249 -1.0001 0.129755 -0.0685639 13.6726 0.913759 -2212 85 1 0 1
-3.28959 1.56423 -0.9999 0.760536 1.59311 -12.465 529.819 -2212 85 1 0 1
-2.33793 1.21283 -1.0001 -0.0602875 -0.0922929 13.6912 0.912542 -2212 86 1 0 1
-2.71399 0.347561 -0.9999 0.529467 0.0890746 -12.575 528.107 -2212 86 1 0 1
-3.40734 3.31119 -1.0001 0.0963935 -0.037778 13.6607 0.913781 -2212 87 1 0 1
-2.64201 2.40176 -0.9999 1.30369 1.97295 -12.4621 527.748 -2212 87 1 0 1
1.18139 -2.66299 -1.0001 0.262024 0.101206 13.662 0.913373 -2212 88 1 0 1
0.223216 -2.81268 -0.9999 0.41218 -1.40963 -12.3596 535.426 -2212 88 1 0 1
-0.869215 0.847645 -1.0001 -0.0870864 0.00288938 13.6401 0.914332 -2212 89 1 0 1
-0.935584 0.435514 -0.9999 0.516792 0.0879485 -12.5379 530.173 -2212 89 1 0 1
1.48311 4.13937 -1.0001 -0.19968 0.0261356 13.6678 0.912364 -2212 90 1 0 1
1.2895 3.38733 -0.9999 1.93653 0.171848 -12.4507 529.856 -2212 90 1 0 1
5.38006 -2.67733 -1.0001 0.099254 0.0374878 13.6752 0.914142 -2212 91 1 0 1
4.50677 -1.29404 -0.9999 -0.962995 -1.90893 -12.4794 528.187 -2212 91 1 0 1
-2.04027 2.50079 -1.0001 -0.000705727 -0.078494 13.6451 0.914396 -2212 92 1 0 1
-2.12925 1.52875 -0.9999 1.58985 0.504188 -12.5338 527.21 -2212 92 1 0 1
-2.32519 -0.383937 -1.0001 0.0343143 -0.024717 13.6544 0.913604 -2212 93 1 0 1
-1.99391 -1.43785 -0.9999 0.66461 0.419176 -12.6713 523.627 -2212 93 1 0 1
2.43702 2.86622 -1.0001 -0.0535384 -0.0730548 13.6239 0.914482 -2212 94 1 0 1
1.39637 2.5635 -0.9999 1.13634 -1.52559 -12.5117 527.406 -2212 94 1 0 1
-0.818473 -10.5836 -1.0001 -0.0148305 -0.0887161 13.5982 0.914708 -2212 95 1 0 1
-0.522232 -5.39002 -1.0001 0.103277 0.00105847 13.6182 0.91506 -2212 96 1 0 1
-1.12107 -6.6938 -0.9999 1.74717 -2.04837 -12.2036 537.559 -2212 96 1 0 1
-1.62935 0.55486 -1.0001 -0.0251911 0.0122958 13.6494 0.914467 -2212 97 1 0 1
-1.26125 1.0157 -0.9999 -0.346014 0.702809 -12.4673 532.344 -2212 97 1 0 1
-1.2689 -1.41839 -1.0001 -0.106749 0.148977 13.6411 0.914635 -2212 98 1 0 1
-1.74309 -1.69039 -0.9999 -0.0129432 -2.57568 -12.2647 538.279 -2212 98 1 0 1
0.424496 -3.46734 -1.0001 0.0657959 -0.0332632 13.6389 0.912951 -2212 99 1 0 1
0.288603 -2.56548 -0.9999 -2.28014 -0.515276 -12.4763 527.568 -2212 99 1 0 1
-0.893346 -1.95671 -1.0001 -0.126274 -0.223433 13.6342 0.914541 -2212 100 1 0 1
0.0850596 -2.27636 -0.9999 -0.203118 1.05563 -12.633 524.701 -2212 100 1 0 1
