           x [mm]           y [mm]           z [mm]         Ex [V/m]         Ey [V/m]         Ez [V/m]
        -7.333335       -14.000005       -1026.6021       -129.79533       -389.83624        211.94916
        -0.666665       -14.000005       -1026.6021        129.81769       -389.84637        211.95302
         6.000005       -14.000005       -1026.6021        278.66483       -277.55179        31.520584
        12.666675       -14.000005       -1026.6021       -22018.467        7943.5947        1.7563293
        19.333345       -14.000005       -1026.6021                0                0                0
       -20.666675        -7.333335       -1026.6021        39529.824        10872.056      0.033393104
       -14.000005        -7.333335       -1026.6021       -389.83624       -129.79533        211.94916
        -7.333335        -7.333335       -1026.6021       -170.40459       -170.40459        437.15515
        -0.666665        -7.333335       -1026.6021        170.44646       -170.41388        437.11304
         6.000005        -7.333335       -1026.6021        389.81586       -129.78526        211.92508
        12.666675        -7.333335       -1026.6021       -39529.809        10872.051      0.033410944
        19.333345        -7.333335       -1026.6021                0                0                0
       -20.666675        -0.666665       -1026.6021        39529.816       -10872.043      0.033330973
       -14.000005        -0.666665       -1026.6021       -389.84637        129.81767        211.95302
        -7.333335        -0.666665       -1026.6021       -170.41389        170.44646        437.11307
        -0.666665        -0.666665       -1026.6021         170.3777         170.3777        437.17664
         6.000005        -0.666665       -1026.6021        389.85452        129.79195        211.90868
        12.666675        -0.666665       -1026.6021       -39529.816       -10872.035      0.033437449
        19.333345        -0.666665       -1026.6021                0                0                0
       -20.666675         6.000005       -1026.6021        22018.455       -7943.5811        1.7556666
       -14.000005         6.000005       -1026.6021       -278.66718        277.55063        31.520594
        -7.333335         6.000005       -1026.6021       -129.78526        389.81586        211.92506
        -0.666665         6.000005       -1026.6021        129.79195        389.85452        211.90868
         6.000005         6.000005       -1026.6021        277.61102        278.72495        31.514519
        12.666675         6.000005       -1026.6021       -22018.514       -7943.6899        1.7555621
        19.333345         6.000005       -1026.6021                0                0                0
       -20.666675        12.666675       -1026.6021        7318.4854       -7318.4863        2.7103872
       -14.000005        12.666675       -1026.6021        7943.5942       -22018.467        1.7563293
        -7.333335        12.666675       -1026.6021        10872.051       -39529.809      0.033410944
        -0.666665        12.666675       -1026.6021       -10872.035       -39529.816      0.033437446
         6.000005        12.666675       -1026.6021       -7943.6899       -22018.514        1.7555621
        12.666675        12.666675       -1026.6021       -7318.4829       -7318.4824        2.7122946
        19.333345        12.666675       -1026.6021                0                0                0
       -20.666675        19.333345       -1026.6021                0                0                0
       -14.000005        19.333345       -1026.6021                0                0                0
        -7.333335        19.333345       -1026.6021                0                0                0
        -0.666665        19.333345       -1026.6021                0                0                0
         6.000005        19.333345       -1026.6021                0                0                0
        12.666675        19.333345       -1026.6021                0                0                0
        19.333345        19.333345       -1026.6021                0                0                0
       -20.666675       -20.666675       -1019.9354        7316.8706        7316.8711       -6.5392456
       -14.000005       -20.666675       -1019.9354        7945.0776        22018.209       -4.5773735
        -7.333335       -20.666675       -1019.9354        10872.228        39530.031      -0.11186448
        -0.666665       -20.666675       -1019.9354       -10872.217         39530.02       -0.1118467
         6.000005       -20.666675       -1019.9354       -7945.1011        22018.195       -4.5776701
        12.666675       -20.666675       -1019.9354        -7316.855         7316.853       -6.5384502
        19.333345       -20.666675       -1019.9354                0                0                0
       -20.666675       -14.000005       -1019.9354        22018.209        7945.0776       -4.5773735
       -14.000005       -14.000005       -1019.9354       -201.41611       -201.28352       -9.0066881
        -7.333335       -14.000005       -1019.9354       -91.714264       -275.05807        -42.32465
        -0.666665       -14.000005       -1019.9354        91.751114        -275.0574        -42.35807
         6.000005       -14.000005       -1019.9354        201.25067       -201.38695       -9.0172043
        12.666675       -14.000005       -1019.9354       -22018.205        7945.1123        -4.577662
        19.333345       -14.000005       -1019.9354                0                0                0
       -20.666675        -7.333335       -1019.9354        39530.027        10872.228      -0.11186449
       -14.000005        -7.333335       -1019.9354       -275.05807       -91.714272        -42.32465
        -7.333335        -7.333335       -1019.9354       -115.94087       -115.94088       -64.269508
        -0.666665        -7.333335       -1019.9354        115.91645       -115.94806        -64.26236
         6.000005        -7.333335       -1019.9354         275.0845       -91.790375       -42.332912
        12.666675        -7.333335       -1019.9354       -39530.016        10872.225      -0.11188745
        19.333345        -7.333335       -1019.9354                0                0                0
       -20.666675        -0.666665       -1019.9354         39530.02       -10872.217       -0.1118467
       -14.000005        -0.666665       -1019.9354       -275.05737        91.751114        -42.35807
        -7.333335        -0.666665       -1019.9354       -115.94806        115.91645        -64.26236
        -0.666665        -0.666665       -1019.9354        115.93725        115.93725       -64.276833
         6.000005        -0.666665       -1019.9354        275.06561        91.713158       -42.373585
        12.666675        -0.666665       -1019.9354        -39530.02       -10872.209      -0.11182981
        19.333345        -0.666665       -1019.9354                0                0                0
       -20.666675         6.000005       -1019.9354        22018.195       -7945.1006       -4.5776701
       -14.000005         6.000005       -1019.9354        -201.2547        201.38344       -9.0172062
        -7.333335         6.000005       -1019.9354       -91.790375         275.0845       -42.332912
        -0.666665         6.000005       -1019.9354        91.713158        275.06561       -42.373585
         6.000005         6.000005       -1019.9354        201.44012         201.3074        -9.007391
        12.666675         6.000005       -1019.9354       -22018.252       -7945.2095       -4.5777402
        19.333345         6.000005       -1019.9354                0                0                0
       -20.666675        12.666675       -1019.9354         7316.853        -7316.855       -6.5384498
       -14.000005        12.666675       -1019.9354        7945.1128       -22018.205       -4.5776615
        -7.333335        12.666675       -1019.9354        10872.226       -39530.016      -0.11188745
        -0.666665        12.666675       -1019.9354       -10872.209       -39530.016       -0.1118298
         6.000005        12.666675       -1019.9354       -7945.2095        -22018.25       -4.5777402
        12.666675        12.666675       -1019.9354       -7316.8467       -7316.8467       -6.5404439
        19.333345        12.666675       -1019.9354                0                0                0
       -20.666675        19.333345       -1019.9354                0                0                0
       -14.000005        19.333345       -1019.9354                0                0                0
        -7.333335        19.333345       -1019.9354                0                0                0
        -0.666665        19.333345       -1019.9354                0                0                0
         6.000005        19.333345       -1019.9354                0                0                0
        12.666675        19.333345       -1019.9354                0                0                0
        19.333345        19.333345       -1019.9354                0                0                0
       -20.666675       -20.666675       -1013.2687        7271.4795        7271.4795       -86.681587
       -14.000005       -20.666675       -1013.2687        7983.6099        22011.143       -89.998222
        -7.333335       -20.666675       -1013.2687        10881.698        39544.516       -6.1140947
        -0.666665       -20.666675       -1013.2687       -10881.686        39544.508       -6.1135674
         6.000005       -20.666675       -1013.2687       -7983.6318        22011.127         -89.9972
        12.666675       -20.666675       -1013.2687       -7271.4668        7271.4644       -86.680649
        19.333345       -20.666675       -1013.2687                0                0                0
       -20.666675       -14.000005       -1013.2687        22011.141        7983.6094       -89.998222
       -14.000005       -14.000005       -1013.2687       -423.58145       -422.33719       -76.354111
        -7.333335       -14.000005       -1013.2687        -169.1297        -495.5784        -426.7988
        -0.666665       -14.000005       -1013.2687         169.1058       -495.56485       -426.80423
         6.000005       -14.000005       -1013.2687        422.34027       -423.58694        -76.35862
        12.666675       -14.000005       -1013.2687       -22011.139        7983.6475       -89.996498
        19.333345       -14.000005       -1013.2687                0                0                0
